Country Name,Series Name,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Spain,GDP growth (annual %),2.757494039,2.660524453,3.702580285,4.393037351,4.490491316,5.24599468,3.932948843,2.731022232,2.981894836,3.122795242,3.652032674,4.102727115,3.604687971,0.887145182,-3.763231927,0.163010231,-0.814373455,-2.959441302,-1.435394259,1.383907943,3.83517266,3.03130133,2.891768107,2.351008131,1.979100561
Spain,GDP (current US$),6.15E+11,6.43E+11,5.90E+11,6.19E+11,6.35E+11,5.97E+11,6.27E+11,7.05E+11,9.05E+11,1.07E+12,1.15E+12,1.26E+12,1.47E+12,1.63E+12,1.49E+12,1.42E+12,1.48E+12,1.32E+12,1.35E+12,1.37E+12,1.20E+12,1.23E+12,1.31E+12,1.42E+12,1.39E+12
Switzerland,GDP per capita (current US$),48662.43977,46676.85094,40417.96228,41497.20261,40581.30705,37868.32306,38538.99005,41376.39399,48087.58314,53340.14766,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80172.23207,80449.99456,82818.10816,81993.72715
Switzerland,GDP per capita growth (annual %),-0.188350751,0.096985263,2.093918148,2.684326239,1.210872157,3.354383729,0.67337177,-0.592227667,-0.699890161,2.072135874,2.456798944,3.338088146,3.185584608,0.864917241,-3.436225944,1.935433928,0.568370352,-0.060803479,0.687571601,1.206825758,0.186394299,0.61793998,0.853880296,1.996439167,0.216690541
Switzerland,GDP growth (annual %),0.480866442,0.54002759,2.340149879,2.989891845,1.694719845,3.936823452,1.312423646,0.162612928,0.039576552,2.776223502,3.115245534,3.988634218,4.111877802,2.154701875,-2.22210711,3.002699098,1.692808496,1.006024094,1.852039766,2.449218087,1.333369082,1.722740656,1.799408986,2.750553714,0.92883244
Switzerland,GDP (current US$),3.43E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.53E+11,3.94E+11,4.09E+11,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.71E+11,6.80E+11,7.05E+11,7.03E+11
United Kingdom,GDP per capita (current US$),23123.17779,24332.69777,26734.56261,28214.27436,28669.53969,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42300.26713
United Kingdom,GDP per capita growth (annual %),2.260783613,2.230894646,3.587692544,3.343265631,3.083961783,3.068548094,2.578699221,1.892089789,2.806551733,1.79315566,2.47371181,2.035550356,1.636058451,-1.062893134,-4.969350243,1.153474893,0.749697186,0.775734728,1.457701803,1.854584596,1.547697098,1.14866298,1.202194373,0.72852424,0.841074871
United Kingdom,GDP growth (annual %),2.531670028,2.491533163,3.854829952,3.644853405,3.42822335,3.437471622,2.97436368,2.324351102,3.286377571,2.373951441,3.179728924,2.788324559,2.430553212,-0.28115359,-4.247821747,1.949521482,1.540147368,1.478923947,2.139485701,2.607475906,2.355524306,1.918155106,1.892077038,1.340720577,1.408642101
United Kingdom,GDP (current US$),1.34E+12,1.42E+12,1.56E+12,1.65E+12,1.68E+12,1.66E+12,1.64E+12,1.78E+12,2.05E+12,2.42E+12,2.54E+12,2.71E+12,3.10E+12,2.92E+12,2.41E+12,2.48E+12,2.66E+12,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12,2.86E+12,2.83E+12
United States,GDP per capita (current US$),28690.8757,29967.71272,31459.139,32853.67698,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.96768,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66783,55047.72556,56822.51882,57927.51685,59957.72585,62840.02024,65118.35833
United States,GDP per capita growth (annual %),1.468787267,2.572195766,3.197252957,3.270524044,3.557193092,2.975208626,0.003648979,0.802103852,1.980925834,2.842680642,2.563502406,1.867955514,0.911865598,-1.076700087,-3.38743566,1.718201295,0.822277548,1.508614155,1.145053237,1.709321538,2.131959573,0.841916107,1.574043646,2.391096544,1.849711435
United States,GDP growth (annual %),2.684287132,3.772501319,4.447216343,4.481407555,4.753235989,4.127484014,0.998340795,1.74169525,2.861210767,3.798891127,3.513213797,2.854972292,1.876171458,-0.136579805,-2.536757066,2.563766559,1.550835506,2.249545852,1.842081071,2.451973035,2.880910466,1.56721517,2.21701033,2.927322728,2.333577492
United States,GDP (current US$),7.64E+12,8.07E+12,8.58E+12,9.06E+12,9.63E+12,1.03E+13,1.06E+13,1.09E+13,1.15E+13,1.22E+13,1.30E+13,1.38E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13
